crew_id,crew_type,type_rating,base_airport,available_from,max_duty_minutes,max_flights,status
CRW-0038,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0039,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0040,CAPTAIN,A320,HYD,300,480,4,AVAILABLE
CRW-0041,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0042,CAPTAIN,ATR72,DEL,300,480,4,AVAILABLE
CRW-0043,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0044,CAPTAIN,B737,BOM,300,480,4,AVAILABLE
CRW-0045,CAPTAIN,A320,BLR,300,480,4,AVAILABLE
CRW-0046,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0047,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0048,CAPTAIN,B737,BOM,300,480,4,AVAILABLE
CRW-0049,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0050,CAPTAIN,A321,HYD,300,480,4,AVAILABLE
CRW-0051,CAPTAIN,B737,DEL,300,480,4,AVAILABLE
CRW-0052,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0053,CAPTAIN,A321,BOM,300,480,4,AVAILABLE
CRW-0054,CAPTAIN,A320,DEL,300,480,4,UNAVAILABLE
CRW-0055,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0056,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0057,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0058,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0059,CAPTAIN,A321,BLR,300,480,4,AVAILABLE
CRW-0060,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0061,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0062,CAPTAIN,A320,BLR,300,480,4,AVAILABLE
CRW-0063,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0064,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0065,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0066,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0067,CAPTAIN,ATR72,DEL,300,480,4,AVAILABLE
CRW-0068,CAPTAIN,A321,BOM,300,480,4,AVAILABLE
CRW-0069,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0070,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0071,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0072,CAPTAIN,B737,CCU,300,480,4,AVAILABLE
CRW-0073,CAPTAIN,B737,DEL,300,480,4,AVAILABLE
CRW-0074,CAPTAIN,B737,BOM,300,480,4,AVAILABLE
CRW-0075,CAPTAIN,A320,BLR,300,480,4,AVAILABLE
CRW-0076,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0077,CAPTAIN,A320,BLR,300,480,4,AVAILABLE
CRW-0078,CAPTAIN,A321,BOM,300,480,4,AVAILABLE
CRW-0079,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0080,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0081,CAPTAIN,A321,HYD,300,480,4,AVAILABLE
CRW-0082,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0083,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0084,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0085,CAPTAIN,A321,BLR,300,480,4,AVAILABLE
CRW-0086,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0087,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0088,CAPTAIN,B737,BLR,300,480,4,AVAILABLE
CRW-0089,CAPTAIN,A321,BLR,300,480,4,UNAVAILABLE
CRW-0090,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0091,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0092,CAPTAIN,B737,DEL,300,480,4,AVAILABLE
CRW-0093,CAPTAIN,A320,BLR,300,480,4,AVAILABLE
CRW-0094,CAPTAIN,A321,BOM,300,480,4,AVAILABLE
CRW-0095,CAPTAIN,A321,BLR,300,480,4,AVAILABLE
CRW-0096,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0097,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0098,CAPTAIN,A320,HYD,300,480,4,AVAILABLE
CRW-0099,CAPTAIN,A320,HYD,300,480,4,AVAILABLE
CRW-0100,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0101,CAPTAIN,A321,BLR,300,480,4,AVAILABLE
CRW-0102,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0103,CAPTAIN,A321,BOM,300,480,4,AVAILABLE
CRW-0104,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0105,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0106,CAPTAIN,B737,DEL,300,480,4,AVAILABLE
CRW-0107,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0108,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0109,CAPTAIN,A320,BLR,300,480,4,AVAILABLE
CRW-0110,CAPTAIN,A320,BLR,300,480,4,AVAILABLE
CRW-0111,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0112,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0113,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0114,CAPTAIN,B737,BLR,300,480,4,AVAILABLE
CRW-0115,CAPTAIN,A321,BOM,300,480,4,AVAILABLE
CRW-0116,CAPTAIN,A321,BOM,300,480,4,AVAILABLE
CRW-0117,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0118,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0119,CAPTAIN,A321,BOM,300,480,4,AVAILABLE
CRW-0120,CAPTAIN,A320,BLR,300,480,4,AVAILABLE
CRW-0121,FIRST_OFFICER,A320,CCU,300,480,4,AVAILABLE
CRW-0122,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0123,FIRST_OFFICER,A320,HYD,300,480,4,AVAILABLE
CRW-0124,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0125,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0126,FIRST_OFFICER,ATR72,DEL,300,480,4,AVAILABLE
CRW-0127,FIRST_OFFICER,A321,BOM,300,480,4,AVAILABLE
CRW-0128,FIRST_OFFICER,A321,BLR,300,480,4,AVAILABLE
CRW-0129,FIRST_OFFICER,B737,HYD,300,480,4,AVAILABLE
CRW-0130,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0131,FIRST_OFFICER,A321,DEL,300,480,4,AVAILABLE
CRW-0132,FIRST_OFFICER,A320,BLR,300,480,4,AVAILABLE
CRW-0133,FIRST_OFFICER,A321,DEL,300,480,4,AVAILABLE
CRW-0134,FIRST_OFFICER,A320,BOM,300,480,4,UNAVAILABLE
CRW-0135,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0136,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0137,FIRST_OFFICER,ATR72,DEL,300,480,4,AVAILABLE
CRW-0138,FIRST_OFFICER,A320,BLR,300,480,4,AVAILABLE
CRW-0139,FIRST_OFFICER,A321,DEL,300,480,4,AVAILABLE
CRW-0140,FIRST_OFFICER,A321,BOM,300,480,4,AVAILABLE
CRW-0141,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0142,FIRST_OFFICER,B737,DEL,300,480,4,AVAILABLE
CRW-0143,FIRST_OFFICER,A320,HYD,300,480,4,AVAILABLE
CRW-0144,FIRST_OFFICER,A320,CCU,300,480,4,AVAILABLE
CRW-0145,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0146,FIRST_OFFICER,A321,HYD,300,480,4,AVAILABLE
CRW-0147,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0148,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0149,FIRST_OFFICER,ATR72,DEL,300,480,4,AVAILABLE
CRW-0150,FIRST_OFFICER,ATR72,BLR,300,480,4,AVAILABLE
CRW-0151,FIRST_OFFICER,B737,HYD,300,480,4,AVAILABLE
CRW-0152,FIRST_OFFICER,A321,BOM,300,480,4,AVAILABLE
CRW-0153,FIRST_OFFICER,A321,CCU,300,480,4,AVAILABLE
CRW-0154,FIRST_OFFICER,B737,BLR,300,480,4,AVAILABLE
CRW-0155,FIRST_OFFICER,A320,CCU,300,480,4,AVAILABLE
CRW-0156,FIRST_OFFICER,A321,BOM,300,480,4,AVAILABLE
CRW-0157,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0158,FIRST_OFFICER,A321,DEL,300,480,4,AVAILABLE
CRW-0159,FIRST_OFFICER,A321,CCU,300,480,4,AVAILABLE
CRW-0160,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0161,FIRST_OFFICER,A321,CCU,300,480,4,AVAILABLE
CRW-0162,FIRST_OFFICER,B737,DEL,300,480,4,AVAILABLE
CRW-0163,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0164,FIRST_OFFICER,B737,BOM,300,480,4,AVAILABLE
CRW-0165,FIRST_OFFICER,ATR72,DEL,300,480,4,AVAILABLE
CRW-0166,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0167,FIRST_OFFICER,A320,HYD,300,480,4,UNAVAILABLE
CRW-0168,FIRST_OFFICER,A321,HYD,300,480,4,AVAILABLE
CRW-0169,FIRST_OFFICER,A320,HYD,300,480,4,AVAILABLE
CRW-0170,FIRST_OFFICER,A321,DEL,300,480,4,AVAILABLE
CRW-0171,FIRST_OFFICER,A320,HYD,300,480,4,AVAILABLE
CRW-0172,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0173,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0174,FIRST_OFFICER,ATR72,DEL,300,480,4,AVAILABLE
CRW-0175,FIRST_OFFICER,A321,BOM,300,480,4,AVAILABLE
CRW-0176,FIRST_OFFICER,B737,BOM,300,480,4,AVAILABLE
CRW-0177,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0178,FIRST_OFFICER,A321,BOM,300,480,4,AVAILABLE
CRW-0179,FIRST_OFFICER,ATR72,BOM,300,480,4,AVAILABLE
CRW-0180,FIRST_OFFICER,B737,HYD,300,480,4,AVAILABLE
CRW-0181,FIRST_OFFICER,ATR72,BOM,300,480,4,AVAILABLE
CRW-0182,FIRST_OFFICER,A320,HYD,300,480,4,AVAILABLE
CRW-0183,FIRST_OFFICER,A321,DEL,300,480,4,AVAILABLE
CRW-0184,FIRST_OFFICER,B737,DEL,300,480,4,AVAILABLE
CRW-0185,FIRST_OFFICER,A321,BOM,300,480,4,AVAILABLE
CRW-0186,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0187,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0188,FIRST_OFFICER,A321,CCU,300,480,4,AVAILABLE
CRW-0189,FIRST_OFFICER,A321,BOM,300,480,4,AVAILABLE
CRW-0190,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0191,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0192,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0193,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0194,FIRST_OFFICER,A321,BOM,300,480,4,AVAILABLE
CRW-0195,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0196,FIRST_OFFICER,A321,DEL,300,480,4,AVAILABLE
CRW-0197,FIRST_OFFICER,B737,DEL,300,480,4,AVAILABLE
CRW-0198,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0199,FIRST_OFFICER,A321,DEL,300,480,4,AVAILABLE
CRW-0200,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0201,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0202,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0203,FIRST_OFFICER,ATR72,DEL,300,480,4,AVAILABLE
CRW-0204,FIRST_OFFICER,B737,DEL,300,480,4,AVAILABLE
CRW-0205,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0206,FIRST_OFFICER,B737,CCU,300,480,4,AVAILABLE
CRW-0207,FIRST_OFFICER,A321,BOM,300,480,4,AVAILABLE
CRW-0208,FIRST_OFFICER,A320,BLR,300,480,4,AVAILABLE
CRW-0209,FIRST_OFFICER,A321,BOM,300,480,4,AVAILABLE
CRW-0210,FIRST_OFFICER,A321,DEL,300,480,4,UNAVAILABLE
CRW-0211,FIRST_OFFICER,B737,DEL,300,480,4,AVAILABLE
CRW-0212,FIRST_OFFICER,A321,BOM,300,480,4,AVAILABLE
CRW-0213,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0214,FIRST_OFFICER,A321,DEL,300,480,4,AVAILABLE
CRW-0215,FIRST_OFFICER,A320,HYD,300,480,4,AVAILABLE
CRW-0216,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0217,FIRST_OFFICER,ATR72,HYD,300,480,4,AVAILABLE
CRW-0218,FIRST_OFFICER,A321,DEL,300,480,4,AVAILABLE
CRW-0219,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0220,FIRST_OFFICER,A320,BLR,300,480,4,AVAILABLE
CRW-0221,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0222,FIRST_OFFICER,B737,BLR,300,480,4,AVAILABLE
CRW-0223,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0224,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0225,FIRST_OFFICER,B737,DEL,300,480,4,AVAILABLE
CRW-0226,FIRST_OFFICER,A321,DEL,300,480,4,AVAILABLE
CRW-0227,FIRST_OFFICER,B737,BOM,300,480,4,AVAILABLE
CRW-0228,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0229,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0230,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0231,FIRST_OFFICER,A320,BOM,300,480,4,AVAILABLE
CRW-0232,FIRST_OFFICER,B737,BOM,300,480,4,AVAILABLE
CRW-0233,FIRST_OFFICER,A321,DEL,300,480,4,AVAILABLE
CRW-0234,FIRST_OFFICER,A320,CCU,300,480,4,AVAILABLE
CRW-0235,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0236,FIRST_OFFICER,A321,BLR,300,480,4,AVAILABLE
CRW-0237,FIRST_OFFICER,A321,HYD,300,480,4,AVAILABLE
CRW-0238,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0239,FIRST_OFFICER,A320,DEL,300,480,4,AVAILABLE
CRW-0240,FIRST_OFFICER,A321,HYD,300,480,4,AVAILABLE
CRW-0241,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0242,CABIN_CREW,A320,BLR,300,480,4,AVAILABLE
CRW-0243,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0244,CABIN_CREW,B737,BOM,300,480,4,AVAILABLE
CRW-0245,CABIN_CREW,A320,DEL,300,480,4,UNAVAILABLE
CRW-0246,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0247,CABIN_CREW,B737,DEL,300,480,4,AVAILABLE
CRW-0248,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0249,CABIN_CREW,A320,HYD,300,480,4,AVAILABLE
CRW-0250,CABIN_CREW,ATR72,BOM,300,480,4,AVAILABLE
CRW-0251,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0252,CABIN_CREW,ATR72,BOM,300,480,4,AVAILABLE
CRW-0253,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0254,CABIN_CREW,A321,BOM,300,480,4,AVAILABLE
CRW-0255,CABIN_CREW,A321,BOM,300,480,4,AVAILABLE
CRW-0256,CABIN_CREW,A321,BOM,300,480,4,AVAILABLE
CRW-0257,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0258,CABIN_CREW,B737,BOM,300,480,4,AVAILABLE
CRW-0259,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0260,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0261,CABIN_CREW,B737,DEL,300,480,4,AVAILABLE
CRW-0262,CABIN_CREW,A320,BLR,300,480,4,AVAILABLE
CRW-0263,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0264,CABIN_CREW,ATR72,HYD,300,480,4,AVAILABLE
CRW-0265,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0266,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0267,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0268,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0269,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0270,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0271,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0272,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0273,CABIN_CREW,B737,DEL,300,480,4,AVAILABLE
CRW-0274,CABIN_CREW,B737,HYD,300,480,4,AVAILABLE
CRW-0275,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0276,CABIN_CREW,B737,BLR,300,480,4,AVAILABLE
CRW-0277,CABIN_CREW,B737,BOM,300,480,4,AVAILABLE
CRW-0278,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0279,CABIN_CREW,A321,BOM,300,480,4,AVAILABLE
CRW-0280,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0281,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0282,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0283,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0284,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0285,CABIN_CREW,A320,BLR,300,480,4,AVAILABLE
CRW-0286,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0287,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0288,CABIN_CREW,ATR72,BLR,300,480,4,AVAILABLE
CRW-0289,CABIN_CREW,B737,BOM,300,480,4,AVAILABLE
CRW-0290,CABIN_CREW,B737,DEL,300,480,4,AVAILABLE
CRW-0291,CABIN_CREW,A320,CCU,300,480,4,AVAILABLE
CRW-0292,CABIN_CREW,A320,BLR,300,480,4,AVAILABLE
CRW-0293,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0294,CABIN_CREW,B737,BLR,300,480,4,AVAILABLE
CRW-0295,CABIN_CREW,A320,BLR,300,480,4,AVAILABLE
CRW-0296,CABIN_CREW,A320,BLR,300,480,4,AVAILABLE
CRW-0297,CABIN_CREW,A320,BLR,300,480,4,AVAILABLE
CRW-0298,CABIN_CREW,A320,BLR,300,480,4,UNAVAILABLE
CRW-0299,CABIN_CREW,B737,BOM,300,480,4,AVAILABLE
CRW-0300,CABIN_CREW,ATR72,BOM,300,480,4,AVAILABLE
CRW-0301,CABIN_CREW,A321,BOM,300,480,4,AVAILABLE
CRW-0302,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0303,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0304,CABIN_CREW,A321,HYD,300,480,4,AVAILABLE
CRW-0305,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0306,CABIN_CREW,B737,DEL,300,480,4,AVAILABLE
CRW-0307,CABIN_CREW,A320,HYD,300,480,4,AVAILABLE
CRW-0308,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0309,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0310,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0311,CABIN_CREW,A320,BLR,300,480,4,AVAILABLE
CRW-0312,CABIN_CREW,B737,DEL,300,480,4,AVAILABLE
CRW-0313,CABIN_CREW,A321,BOM,300,480,4,AVAILABLE
CRW-0314,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0315,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0316,CABIN_CREW,ATR72,BOM,300,480,4,AVAILABLE
CRW-0317,CABIN_CREW,A321,CCU,300,480,4,AVAILABLE
CRW-0318,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0319,CABIN_CREW,B737,BLR,300,480,4,AVAILABLE
CRW-0320,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0321,CABIN_CREW,B737,CCU,300,480,4,AVAILABLE
CRW-0322,CABIN_CREW,B737,BLR,300,480,4,AVAILABLE
CRW-0323,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0324,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0325,CABIN_CREW,B737,DEL,300,480,4,AVAILABLE
CRW-0326,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0327,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0328,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0329,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0330,CABIN_CREW,B737,DEL,300,480,4,AVAILABLE
CRW-0331,CABIN_CREW,A321,HYD,300,480,4,AVAILABLE
CRW-0332,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0333,CABIN_CREW,A320,DEL,300,480,4,UNAVAILABLE
CRW-0334,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0335,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0336,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0337,CABIN_CREW,B737,HYD,300,480,4,AVAILABLE
CRW-0338,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0339,CABIN_CREW,A321,BOM,300,480,4,AVAILABLE
CRW-0340,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0341,CABIN_CREW,A321,BOM,300,480,4,AVAILABLE
CRW-0342,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0343,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0344,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0345,CABIN_CREW,A320,BLR,300,480,4,AVAILABLE
CRW-0346,CABIN_CREW,A320,HYD,300,480,4,AVAILABLE
CRW-0347,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0348,CABIN_CREW,B737,BOM,300,480,4,AVAILABLE
CRW-0349,CABIN_CREW,A321,BOM,300,480,4,AVAILABLE
CRW-0350,CABIN_CREW,A320,BLR,300,480,4,AVAILABLE
CRW-0351,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0352,CABIN_CREW,ATR72,DEL,300,480,4,AVAILABLE
CRW-0353,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0354,CABIN_CREW,A320,HYD,300,480,4,AVAILABLE
CRW-0355,CABIN_CREW,A320,BLR,300,480,4,AVAILABLE
CRW-0356,CABIN_CREW,ATR72,BOM,300,480,4,AVAILABLE
CRW-0357,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0358,CABIN_CREW,B737,BLR,300,480,4,AVAILABLE
CRW-0359,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0360,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0361,CABIN_CREW,ATR72,HYD,300,480,4,AVAILABLE
CRW-0362,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0363,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0364,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0365,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
CRW-0366,CABIN_CREW,A320,BLR,300,480,4,AVAILABLE
CRW-0367,CABIN_CREW,A321,DEL,300,480,4,AVAILABLE
CRW-0368,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0369,CABIN_CREW,B737,BOM,300,480,4,AVAILABLE
CRW-0370,CABIN_CREW,A320,DEL,300,480,4,AVAILABLE
CRW-0371,CABIN_CREW,A320,BOM,300,480,4,AVAILABLE
