flight_id,origin,destination,aircraft_type,assigned_aircraft,std,sta,flight_duration,passengers,forced_delay,c_cancel,c_delay_per_min
FL-1080,BLR,PNQ,A321,VT-AC166,397,481,84,215,0,952933,653
FL-1081,DEL,CCU,A321,VT-AC179,398,528,130,216,60,891767,943
FL-1082,DEL,BOM,A320,VT-AC160,398,523,125,160,120,749077,948
FL-1083,DEL,PNQ,A320,VT-AC144,399,519,120,175,90,776994,743
FL-1084,DEL,BOM,A321,VT-AC186,400,525,125,214,90,889572,689
FL-1085,DEL,AMD,ATR72,VT-AC212,401,491,90,60,90,378447,763
FL-1086,DEL,AMD,A320,VT-AC153,401,491,90,162,120,733210,673
FL-1087,DEL,HYD,A320,VT-AC117,401,531,130,154,30,692871,934
FL-1088,HYD,BLR,A321,VT-AC177,402,472,70,202,0,839690,928
FL-1089,BOM,COK,A320,VT-AC106,402,495,93,166,0,722923,785
FL-1090,BOM,PNQ,A321,VT-AC175,403,517,114,188,0,800628,884
FL-1091,BOM,BLR,B737,VT-AC203,404,499,95,161,0,734061,893
FL-1092,BOM,AMD,B737,VT-AC192,405,507,102,183,0,818111,938
FL-1093,BLR,DEL,A320,VT-AC132,405,570,165,151,15,684052,708
FL-1094,BLR,BOM,B737,VT-AC193,405,505,100,159,0,678834,873
FL-1095,BOM,BLR,A321,VT-AC188,405,500,95,190,0,797670,811
FL-1096,BOM,BLR,A320,VT-AC133,406,501,95,159,0,759681,708
FL-1097,HYD,BOM,A320,VT-AC154,406,491,85,170,0,799558,945
FL-1098,HYD,DEL,A321,VT-AC173,406,536,130,205,45,833279,672
FL-1099,BOM,COK,B737,VT-AC194,411,500,89,164,0,685008,827
FL-1100,BOM,BLR,A321,VT-AC183,412,507,95,203,0,898273,663
FL-1101,BOM,DEL,A320,VT-AC130,413,543,130,156,15,710679,699
FL-1102,DEL,HYD,A320,VT-AC157,413,543,130,173,30,727828,740
FL-1103,DEL,BLR,A320,VT-AC123,414,574,160,158,120,751214,876
FL-1104,DEL,BLR,A320,VT-AC111,414,574,160,157,120,755193,770
FL-1105,BOM,CCU,A321,VT-AC162,414,569,155,213,0,834266,755
FL-1106,DEL,MAA,B737,VT-AC207,414,584,170,175,30,768348,844
FL-1107,BOM,BLR,B737,VT-AC209,414,509,95,168,0,771170,697
FL-1108,BLR,CCU,A320,VT-AC121,416,566,150,169,0,754411,876
FL-1109,DEL,GOI,A320,VT-AC128,417,567,150,171,90,820721,767
FL-1110,DEL,MAA,A320,VT-AC159,418,588,170,158,60,683515,718
FL-1111,DEL,HYD,A321,VT-AC182,418,548,130,185,90,861281,702
FL-1112,DEL,BLR,A320,VT-AC150,420,580,160,173,120,820677,778
FL-1113,DEL,BOM,A320,VT-AC148,420,545,125,167,60,817816,752
FL-1114,DEL,BLR,A320,VT-AC124,420,580,160,154,90,710715,846
FL-1115,DEL,AMD,A320,VT-AC120,420,510,90,167,30,807834,751
FL-1116,MAA,BLR,A320,VT-AC158,450,505,55,153,0,714380,857
FL-1117,MAA,AMD,A320,VT-AC141,454,566,112,162,0,793628,752
FL-1118,HYD,CCU,B737,VT-AC202,458,576,118,163,0,760847,896
FL-1119,HYD,BOM,A320,VT-AC140,471,556,85,161,0,694378,720
FL-1120,COK,BLR,A320,VT-AC129,472,537,65,151,0,749953,853
FL-1121,BLR,AMD,A320,VT-AC136,475,603,128,154,0,683224,653
FL-1122,BLR,PNQ,A321,VT-AC164,476,593,117,207,0,904945,895
FL-1123,BOM,MAA,A320,VT-AC131,482,597,115,166,0,810161,675
FL-1124,AMD,BOM,A321,VT-AC189,483,574,91,183,0,794803,881
FL-1125,BOM,GOI,B737,VT-AC200,484,549,65,156,0,747978,683
FL-1126,BLR,GOI,A321,VT-AC181,490,589,99,187,0,887935,790
FL-1127,BLR,COK,A320,VT-AC118,497,562,65,153,0,667443,741
FL-1128,BOM,COK,ATR72,VT-AC220,501,600,99,61,0,381381,826
FL-1129,BOM,DEL,A320,VT-AC103,506,636,130,160,0,716000,792
FL-1130,COK,AMD,A320,VT-AC156,506,603,97,174,0,803707,720
FL-1131,BOM,DEL,A320,VT-AC139,507,637,130,163,0,722007,779
FL-1132,MAA,HYD,A320,VT-AC112,507,582,75,173,0,762660,930
FL-1133,HYD,DEL,ATR72,VT-AC218,507,637,130,60,0,387901,925
FL-1134,DEL,COK,ATR72,VT-AC215,508,698,190,60,60,344977,801
FL-1135,CCU,GOI,A320,VT-AC114,508,599,91,149,0,671989,758
FL-1136,GOI,DEL,A321,VT-AC172,513,668,155,198,0,895805,874
FL-1137,BOM,DEL,A321,VT-AC170,513,643,130,194,0,785243,816
FL-1138,AMD,BOM,ATR72,VT-AC216,517,608,91,70,0,378170,738
FL-1139,BLR,PNQ,A321,VT-AC177,517,620,103,201,0,914891,875
FL-1140,HYD,BOM,A321,VT-AC167,518,603,85,184,0,880008,885
FL-1141,BLR,BOM,A320,VT-AC109,521,621,100,163,0,794076,709
FL-1142,BOM,BLR,ATR72,VT-AC211,522,617,95,59,0,359765,943
FL-1143,BLR,MAA,A321,VT-AC163,522,577,55,201,0,800738,826
FL-1144,BLR,HYD,ATR72,VT-AC219,522,592,70,67,0,367789,949
FL-1145,DEL,AMD,A320,VT-AC107,522,612,90,162,60,700945,676
FL-1146,CCU,PNQ,ATR72,VT-AC214,522,647,125,67,0,394071,761
FL-1147,AMD,MAA,A320,VT-AC115,524,614,90,175,0,725133,663
FL-1148,DEL,BLR,A320,VT-AC138,524,684,160,160,60,666813,838
FL-1149,GOI,DEL,A320,VT-AC135,525,680,155,153,0,690987,824
FL-1150,PNQ,BLR,A321,VT-AC166,526,659,133,204,0,813892,727
FL-1151,BOM,DEL,B737,VT-AC196,530,660,130,163,0,757927,895
FL-1152,AMD,BOM,B737,VT-AC206,530,667,137,169,0,792215,734
FL-1153,DEL,PNQ,B737,VT-AC198,532,652,120,182,60,865503,684
FL-1154,BLR,BOM,A320,VT-AC116,532,632,100,162,0,752699,925
FL-1155,PNQ,BLR,A321,VT-AC171,533,625,92,198,0,805061,653
FL-1156,PNQ,BLR,A320,VT-AC119,534,640,106,165,0,782377,765
FL-1157,DEL,CCU,B737,VT-AC197,534,664,130,179,90,782748,924
FL-1158,DEL,BOM,A320,VT-AC149,535,660,125,149,30,674260,895
FL-1159,BLR,BOM,A320,VT-AC126,536,636,100,159,0,669016,818
FL-1160,AMD,DEL,ATR72,VT-AC212,536,626,90,68,0,420065,799
FL-1161,BOM,DEL,A320,VT-AC154,536,666,130,164,0,697171,844
FL-1162,AMD,DEL,A320,VT-AC153,536,626,90,157,0,711902,883
FL-1163,BLR,BOM,A320,VT-AC155,537,637,100,172,0,794070,785
FL-1164,DEL,AMD,A321,VT-AC184,538,628,90,184,90,817782,728
FL-1165,GOI,MAA,A321,VT-AC165,538,619,81,191,0,904031,946
FL-1166,COK,BOM,A320,VT-AC106,540,662,122,166,0,741919,687
FL-1167,DEL,COK,A321,VT-AC187,540,730,190,212,90,951735,703
FL-1168,BOM,HYD,B737,VT-AC205,540,625,85,178,0,738027,872
FL-1169,BLR,COK,A321,VT-AC169,541,606,65,183,0,775615,880
FL-1170,BOM,HYD,A320,VT-AC152,541,626,85,174,0,777157,773
FL-1171,DEL,BOM,B737,VT-AC208,542,667,125,182,30,854009,902
FL-1172,BLR,GOI,B737,VT-AC203,544,666,122,165,0,717625,737
FL-1173,COK,GOI,B737,VT-AC194,545,635,90,174,0,840860,821
FL-1174,BLR,COK,A321,VT-AC188,545,610,65,206,0,930386,812
FL-1175,BLR,GOI,A320,VT-AC133,546,667,121,172,0,776263,760
FL-1176,MAA,AMD,ATR72,VT-AC213,547,662,115,69,0,417102,897
FL-1177,BLR,PNQ,A320,VT-AC158,550,662,112,157,0,702744,698
FL-1178,BOM,PNQ,B737,VT-AC193,550,661,111,174,0,731049,937
FL-1179,CCU,BOM,A320,VT-AC101,550,710,160,172,0,830700,693
FL-1180,BLR,GOI,A321,VT-AC183,552,674,122,213,0,866607,910
FL-1181,AMD,COK,B737,VT-AC192,552,685,133,184,0,868575,902
FL-1182,BOM,DEL,ATR72,VT-AC217,553,683,130,66,0,386272,937
FL-1183,BLR,BOM,B737,VT-AC209,554,654,100,160,0,713299,883
FL-1184,AMD,BLR,A320,VT-AC120,555,669,114,154,0,661155,786
FL-1185,MAA,BLR,A320,VT-AC127,555,610,55,160,0,747355,888
FL-1186,CCU,BOM,A320,VT-AC137,556,716,160,152,0,698474,708
FL-1187,BLR,CCU,A321,VT-AC168,562,712,150,188,0,879504,658
FL-1188,PNQ,DEL,A321,VT-AC175,562,682,120,212,0,917900,810
FL-1189,HYD,BOM,A321,VT-AC174,563,648,85,183,0,839658,661
FL-1190,BLR,DEL,A320,VT-AC142,563,728,165,174,0,772565,721
FL-1191,PNQ,AMD,A320,VT-AC144,564,648,84,168,0,814420,668
FL-1192,BOM,CCU,A320,VT-AC102,566,721,155,149,0,702027,767
FL-1193,BOM,BLR,A321,VT-AC185,566,661,95,191,0,770959,945
FL-1194,CCU,HYD,A321,VT-AC176,567,702,135,194,0,772287,719
FL-1195,BOM,HYD,A320,VT-AC160,568,653,85,162,0,773206,882
FL-1196,MAA,CCU,A320,VT-AC146,568,708,140,160,0,789372,742
FL-1197,BOM,CCU,A321,VT-AC186,570,725,155,199,0,930389,741
FL-1198,BLR,MAA,B737,VT-AC201,571,626,55,161,0,749124,912
FL-1199,BLR,DEL,B737,VT-AC195,572,737,165,171,0,820063,697
FL-1200,BLR,COK,A320,VT-AC134,572,637,65,156,0,662129,909
FL-1201,CCU,BOM,A321,VT-AC179,573,733,160,200,0,934024,698
FL-1202,HYD,AMD,A320,VT-AC117,576,700,124,161,0,756885,879
FL-1203,DEL,BOM,B737,VT-AC210,576,701,125,175,0,817454,945
FL-1204,BLR,DEL,A321,VT-AC161,577,742,165,194,0,798499,925
FL-1205,CCU,BLR,B737,VT-AC204,577,732,155,157,0,764111,906
FL-1206,COK,BLR,A321,VT-AC190,580,645,65,206,0,837678,759
FL-1207,DEL,CCU,A321,VT-AC173,581,711,130,206,0,875057,819
FL-1208,BLR,COK,A320,VT-AC129,582,647,65,163,0,683375,852
FL-1209,BOM,BLR,B737,VT-AC199,587,682,95,173,0,797824,855
FL-1210,GOI,BLR,B737,VT-AC191,587,668,81,182,0,845755,679
FL-1211,HYD,COK,A320,VT-AC157,588,670,82,176,0,769096,903
FL-1212,DEL,BLR,A320,VT-AC130,588,748,160,151,0,688000,926
FL-1213,BLR,GOI,A320,VT-AC113,588,705,117,174,0,709518,944
FL-1214,BOM,DEL,A320,VT-AC148,590,720,130,149,0,647380,877
FL-1215,MAA,COK,A320,VT-AC108,590,717,127,152,0,749473,733
FL-1216,HYD,BOM,A321,VT-AC182,593,678,85,192,0,823185,718
FL-1217,GOI,BOM,B737,VT-AC200,594,659,65,167,0,788676,918
FL-1218,BOM,GOI,A320,VT-AC125,596,661,65,154,0,689982,860
FL-1219,BOM,DEL,A320,VT-AC140,601,731,130,171,0,711036,926
FL-1220,MAA,BLR,A321,VT-AC180,602,657,55,193,0,767981,697
FL-1221,COK,BOM,A320,VT-AC118,607,732,125,162,0,703950,677
FL-1222,MAA,BOM,A320,VT-AC151,608,728,120,167,0,705519,862
FL-1223,MAA,HYD,A320,VT-AC143,608,683,75,164,0,699375,693
FL-1224,CCU,GOI,A320,VT-AC121,611,702,91,176,0,774572,901
FL-1225,COK,DEL,A320,VT-AC147,611,806,195,166,0,729293,940
FL-1226,AMD,PNQ,A320,VT-AC141,611,699,88,172,0,707579,896
FL-1227,GOI,HYD,A320,VT-AC128,612,714,102,153,0,662872,778
FL-1228,CCU,DEL,A321,VT-AC162,614,754,140,183,0,823115,674
FL-1229,COK,HYD,A320,VT-AC104,614,725,111,152,0,672479,679
FL-1230,DEL,AMD,A320,VT-AC132,615,705,90,160,0,708340,705
FL-1231,BLR,AMD,A320,VT-AC123,619,712,93,155,0,662245,797
FL-1232,BOM,CCU,A321,VT-AC189,619,774,155,190,0,828230,721
FL-1233,BLR,MAA,A320,VT-AC111,619,674,55,170,0,714040,673
FL-1234,COK,CCU,A320,VT-AC110,620,719,99,162,0,754829,817
FL-1235,CCU,DEL,B737,VT-AC202,621,761,140,174,0,826719,783
FL-1236,MAA,COK,A321,VT-AC163,622,744,122,195,0,855816,863
FL-1237,BLR,DEL,A320,VT-AC150,625,790,165,155,0,723502,923
FL-1238,BLR,DEL,A320,VT-AC124,625,790,165,162,0,782360,685
FL-1239,HYD,BLR,A320,VT-AC112,627,697,70,169,0,754975,782
FL-1240,MAA,DEL,B737,VT-AC207,629,804,175,169,0,711502,654
FL-1241,MAA,BLR,A320,VT-AC159,633,688,55,169,0,772695,862
FL-1242,GOI,DEL,A321,VT-AC181,634,789,155,190,0,814520,734
FL-1243,HYD,DEL,ATR72,VT-AC219,637,767,130,59,0,382603,704
FL-1244,PNQ,BOM,A321,VT-AC164,638,776,138,193,0,915363,657
FL-1245,MAA,AMD,A320,VT-AC131,642,737,95,176,0,824006,755
FL-1246,GOI,BLR,A320,VT-AC114,644,745,101,169,0,742057,865
FL-1247,COK,BOM,ATR72,VT-AC220,645,782,137,66,0,388262,732
FL-1248,AMD,BLR,A320,VT-AC136,648,755,107,152,0,682633,767
FL-1249,AMD,DEL,A320,VT-AC156,648,738,90,164,0,706610,921
FL-1250,BOM,CCU,A321,VT-AC167,648,803,155,190,0,861974,691
FL-1251,COK,BLR,A321,VT-AC169,651,716,65,201,0,853568,745
FL-1252,BOM,AMD,ATR72,VT-AC216,653,740,87,63,0,373196,934
FL-1253,BLR,GOI,A320,VT-AC127,655,778,123,163,0,681231,826
FL-1254,COK,BLR,A321,VT-AC188,655,720,65,184,0,768639,949
FL-1255,AMD,DEL,A320,VT-AC107,657,747,90,171,0,703231,820
FL-1256,MAA,GOI,A320,VT-AC115,659,775,116,167,0,812411,853
FL-1257,BLR,BOM,ATR72,VT-AC211,662,762,100,64,0,370982,904
FL-1258,MAA,CCU,A321,VT-AC165,664,804,140,187,0,797747,844
FL-1259,PNQ,BLR,A321,VT-AC177,665,772,107,185,0,864850,776
FL-1260,BOM,GOI,A320,VT-AC109,666,731,65,152,0,753444,785
FL-1261,BLR,COK,A321,VT-AC171,670,735,65,211,0,889325,818
FL-1262,HYD,CCU,B737,VT-AC205,670,775,105,167,0,748180,652
FL-1263,MAA,DEL,B737,VT-AC201,671,846,175,184,0,839219,892
FL-1264,DEL,CCU,ATR72,VT-AC212,671,801,130,67,0,366853,734
FL-1265,DEL,BOM,A320,VT-AC153,671,796,125,162,0,710904,813
FL-1266,HYD,BOM,A320,VT-AC152,671,756,85,149,0,660337,890
FL-1267,AMD,BOM,A321,VT-AC184,673,772,99,184,0,874360,729
FL-1268,BOM,PNQ,A320,VT-AC116,677,786,109,160,0,755571,787
FL-1269,GOI,BLR,B737,VT-AC194,680,776,96,161,0,754481,829
FL-1270,DEL,HYD,A320,VT-AC103,681,811,130,174,0,768483,931
FL-1271,BOM,GOI,A320,VT-AC126,681,746,65,162,0,792056,899
FL-1272,DEL,AMD,A320,VT-AC139,682,772,90,175,0,794378,726
FL-1273,COK,BOM,A320,VT-AC134,682,804,122,161,0,774329,829
FL-1274,DEL,HYD,ATR72,VT-AC218,682,812,130,59,0,370439,759
FL-1275,BOM,CCU,A320,VT-AC155,682,837,155,175,0,749060,802
FL-1276,BLR,PNQ,A320,VT-AC119,685,789,104,160,0,718668,869
FL-1277,DEL,GOI,A321,VT-AC170,688,838,150,192,0,823966,693
FL-1278,BLR,GOI,A321,VT-AC190,690,787,97,191,0,896187,667
FL-1279,PNQ,BOM,ATR72,VT-AC214,692,811,119,67,0,401202,717
FL-1280,COK,DEL,A320,VT-AC129,692,887,195,151,0,677725,784
FL-1281,AMD,BOM,A320,VT-AC144,693,775,82,170,0,814467,811
FL-1282,BOM,GOI,A321,VT-AC174,693,758,65,185,0,860407,774
FL-1283,PNQ,DEL,B737,VT-AC198,697,817,120,166,0,724509,791
FL-1284,HYD,DEL,A320,VT-AC160,698,828,130,160,0,669390,886
FL-1285,BOM,BLR,B737,VT-AC209,699,794,95,175,0,776954,865
FL-1286,BLR,AMD,A321,VT-AC180,702,811,109,204,0,916597,682
FL-1287,BLR,DEL,A321,VT-AC166,704,869,165,198,0,793175,897
FL-1288,BOM,GOI,B737,VT-AC200,704,769,65,160,0,774023,752
FL-1289,BOM,HYD,A320,VT-AC149,705,790,85,159,0,731927,714
FL-1290,DEL,BOM,B737,VT-AC196,705,830,125,161,0,747398,691
FL-1291,BLR,MAA,A321,VT-AC185,706,761,55,198,0,840643,905
FL-1292,PNQ,CCU,B737,VT-AC193,706,845,139,173,0,752984,739
FL-1293,GOI,DEL,A320,VT-AC125,706,861,155,161,0,782849,845
FL-1294,BOM,DEL,A320,VT-AC106,707,837,130,176,0,853450,687
FL-1295,AMD,GOI,ATR72,VT-AC213,707,836,129,69,0,380581,946
FL-1296,PNQ,DEL,A320,VT-AC158,707,827,120,161,0,785734,653
FL-1297,CCU,MAA,B737,VT-AC197,709,844,135,169,0,809999,893
FL-1298,GOI,AMD,B737,VT-AC203,711,847,136,171,0,737389,891
FL-1299,DEL,BOM,A320,VT-AC154,711,836,125,154,0,713340,706
FL-1300,GOI,BLR,A320,VT-AC133,712,848,136,154,0,684556,882
FL-1301,BOM,COK,B737,VT-AC206,712,850,138,179,0,725538,764
FL-1302,BOM,DEL,B737,VT-AC208,712,842,130,178,0,730286,701
FL-1303,DEL,PNQ,A321,VT-AC172,713,833,120,206,0,944165,859
FL-1304,BLR,PNQ,B737,VT-AC191,713,823,110,170,0,798290,769
FL-1305,BLR,PNQ,A320,VT-AC120,714,798,84,149,0,721281,941
FL-1306,COK,DEL,A320,VT-AC157,715,910,195,175,0,839645,669
FL-1307,GOI,DEL,A321,VT-AC183,719,874,155,192,0,772781,772
FL-1308,MAA,BOM,A320,VT-AC111,719,839,120,165,0,779440,883
FL-1309,BOM,MAA,A321,VT-AC182,723,838,115,187,0,827764,654
FL-1310,DEL,BOM,A320,VT-AC135,725,850,125,168,0,792006,940
FL-1311,BLR,DEL,B737,VT-AC199,727,892,165,181,0,829186,675
FL-1312,DEL,CCU,A321,VT-AC175,727,857,130,195,0,791820,830
FL-1313,DEL,PNQ,ATR72,VT-AC217,728,848,120,59,0,370373,878
FL-1314,HYD,BLR,A320,VT-AC143,728,798,70,149,0,689506,909
FL-1315,BLR,PNQ,A320,VT-AC138,729,813,84,166,0,810994,696
FL-1316,COK,BLR,B737,VT-AC192,730,795,65,169,0,703002,769
FL-1317,BLR,AMD,A320,VT-AC159,733,871,138,161,0,734432,761
FL-1318,BLR,AMD,A320,VT-AC112,742,875,133,165,0,779087,916
FL-1319,COK,BOM,ATR72,VT-AC215,743,857,114,59,0,377222,702
FL-1320,PNQ,GOI,A320,VT-AC141,744,859,115,174,0,805827,914
FL-1321,AMD,MAA,A320,VT-AC117,745,830,85,156,0,699669,774
FL-1322,BOM,AMD,B737,VT-AC210,746,840,94,184,0,837401,823
FL-1323,HYD,DEL,A321,VT-AC176,747,877,130,216,0,928539,903
FL-1324,GOI,COK,A320,VT-AC121,747,857,110,157,0,694263,703
FL-1325,GOI,BOM,A320,VT-AC113,750,815,65,174,0,748366,849
FL-1326,AMD,BLR,A320,VT-AC132,750,844,94,174,0,712836,916
FL-1327,CCU,BLR,A320,VT-AC146,753,908,155,150,0,669350,801
FL-1328,BOM,AMD,A320,VT-AC101,755,887,132,149,0,717463,714
FL-1329,CCU,COK,A321,VT-AC173,756,863,107,185,0,756593,763
FL-1330,AMD,BLR,A320,VT-AC123,757,881,124,161,0,668918,772
FL-1331,CCU,COK,A321,VT-AC168,757,874,117,187,0,871175,853
FL-1332,HYD,MAA,A320,VT-AC128,759,834,75,169,0,782851,720
FL-1333,BOM,HYD,A320,VT-AC137,761,846,85,173,0,751953,725
FL-1334,BLR,MAA,A321,VT-AC169,761,816,55,195,0,894458,801
FL-1335,COK,GOI,A320,VT-AC108,762,893,131,152,0,686535,741
FL-1336,CCU,BLR,A320,VT-AC110,764,919,155,163,0,696615,844
FL-1337,BLR,DEL,A321,VT-AC188,765,930,165,187,0,818121,858
FL-1338,DEL,COK,A320,VT-AC148,765,955,190,167,0,797361,813
FL-1339,CCU,DEL,A320,VT-AC102,766,906,140,172,0,710149,771
FL-1340,HYD,BLR,A320,VT-AC104,770,840,70,149,0,664181,675
FL-1341,CCU,BOM,A321,VT-AC186,770,930,160,216,0,1006064,685
FL-1342,DEL,AMD,A320,VT-AC142,773,863,90,160,0,662672,690
FL-1343,BOM,HYD,A320,VT-AC151,773,858,85,157,0,670444,813
FL-1344,COK,BOM,A321,VT-AC187,775,870,95,196,0,927913,722
FL-1345,DEL,PNQ,A320,VT-AC140,776,896,120,162,0,754186,717
FL-1346,GOI,DEL,A320,VT-AC109,776,931,155,160,0,755253,810
FL-1347,BOM,CCU,A320,VT-AC118,777,932,155,174,0,795591,901
FL-1348,BLR,DEL,B737,VT-AC204,777,942,165,166,0,720821,677
FL-1349,BOM,DEL,A321,VT-AC179,778,908,130,209,0,972418,791
FL-1350,COK,BLR,A321,VT-AC171,780,845,65,211,0,970285,719
FL-1351,AMD,DEL,A320,VT-AC131,782,872,90,163,0,748064,769
FL-1352,DEL,BLR,B737,VT-AC195,782,942,160,181,0,831212,870
FL-1353,DEL,BOM,A320,VT-AC156,783,908,125,149,0,676065,891
