aircraft_id,aircraft_type,current_location,available_from,capacity,status
VT-AC198,B737,BOM,300,189,AVAILABLE
VT-AC199,B737,CCU,300,189,AVAILABLE
VT-AC200,B737,HYD,300,189,AVAILABLE
VT-AC201,B737,DEL,300,189,AVAILABLE
VT-AC202,B737,BLR,300,189,AVAILABLE
VT-AC203,B737,BOM,300,189,AVAILABLE
VT-AC204,B737,BOM,300,189,AVAILABLE
VT-AC205,B737,DEL,300,189,AVAILABLE
VT-AC206,B737,BOM,300,189,AVAILABLE
VT-AC207,B737,DEL,300,189,AVAILABLE
VT-AC208,B737,BOM,300,189,AVAILABLE
VT-AC209,B737,BOM,300,189,AVAILABLE
VT-AC210,B737,CCU,300,189,AVAILABLE
VT-AC211,ATR72,HYD,300,72,AVAILABLE
VT-AC212,ATR72,DEL,300,72,AVAILABLE
VT-AC213,ATR72,BOM,300,72,AVAILABLE
VT-AC214,ATR72,DEL,300,72,AVAILABLE
VT-AC215,ATR72,HYD,300,72,AVAILABLE
VT-AC216,ATR72,HYD,300,72,AVAILABLE
VT-AC217,ATR72,DEL,300,72,AVAILABLE
VT-AC218,ATR72,BOM,300,72,AVAILABLE
VT-AC219,ATR72,BOM,300,72,AVAILABLE
VT-AC220,ATR72,DEL,300,72,AVAILABLE
